"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 13 23:21:03 EET 2021","Sat Mar 13 23:21:06 EET 2021","3094","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Mar 13 23:20:55 EET 2021","Sat Mar 13 23:20:57 EET 2021","2622","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Sat Mar 13 23:20:45 EET 2021","Sat Mar 13 23:20:48 EET 2021","2645","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sat Mar 13 23:22:46 EET 2021","Sat Mar 13 23:22:58 EET 2021","12058","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Mar 13 23:21:20 EET 2021","Sat Mar 13 23:21:22 EET 2021","2343","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"skipped","Sat Mar 13 23:21:28 EET 2021","Sat Mar 13 23:21:30 EET 2021","2328","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"skipped","Sat Mar 13 23:21:53 EET 2021","Sat Mar 13 23:21:56 EET 2021","2292","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"failed","Sat Mar 13 23:23:13 EET 2021","Sat Mar 13 23:23:13 EET 2021","0","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sat Mar 13 23:20:02 EET 2021","Sat Mar 13 23:20:04 EET 2021","1911","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sat Mar 13 23:23:10 EET 2021","Sat Mar 13 23:23:11 EET 2021","690","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_should_see_login_link_on_product_page",""
"passed","Sat Mar 13 23:22:01 EET 2021","Sat Mar 13 23:22:13 EET 2021","11673","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 13 23:21:12 EET 2021","Sat Mar 13 23:21:14 EET 2021","2467","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sat Mar 13 23:22:38 EET 2021","Sat Mar 13 23:22:40 EET 2021","1537","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Sat Mar 13 23:22:19 EET 2021","Sat Mar 13 23:22:25 EET 2021","6391","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sat Mar 13 23:21:45 EET 2021","Sat Mar 13 23:21:48 EET 2021","2593","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Mar 13 23:20:28 EET 2021","Sat Mar 13 23:20:30 EET 2021","2215","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Mar 13 23:20:37 EET 2021","Sat Mar 13 23:20:39 EET 2021","2511","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sat Mar 13 23:21:36 EET 2021","Sat Mar 13 23:21:39 EET 2021","3167","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sat Mar 13 23:20:09 EET 2021","Sat Mar 13 23:20:22 EET 2021","12472","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 13 23:22:31 EET 2021","Sat Mar 13 23:22:32 EET 2021","1315","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
